Name,Type,Phone,Address,Lat,Lon
"Unknown","hospital","N/A","N/A",11.8166302,7.9000148
"Tsara Primary Health Centre","hospital","N/A","N/A",11.4507448,7.7276659
"Dayaso Health Post","hospital","N/A","N/A",11.5159251,7.7354815
"Fulatan Primary Health Centre","hospital","N/A","N/A",11.400621,7.8588881
"Gwangwan Primary Health Centre","hospital","N/A","N/A",11.4870724,7.7472255
"Hago Primary Health Centre","hospital","N/A","N/A",11.4799185,7.8311742
"Ruwan Bago Health Post","hospital","N/A","N/A",11.4071835,7.7574532
"Sundu Health Post","hospital","N/A","N/A",11.3806332,7.7615261
"Tudun Magaji Health Post","hospital","N/A","N/A",11.4528744,7.7818216
"Unguwar Liman Health Post","hospital","N/A","N/A",11.4050538,7.7436668
"Unguwar Malam Amadu Health Post","hospital","N/A","N/A",11.4932289,7.7720426
"Zarewa Primary Health Centre","hospital","N/A","N/A",11.3970316,7.8119881
"Bari Primary Health Centre","hospital","N/A","N/A",11.5683198,7.7511988
"Kaleku Health Post","hospital","N/A","N/A",11.6249586,7.883484
"Karshi Health Post","hospital","N/A","N/A",11.54124,7.825976
"Kauyen Liman Health Post","hospital","N/A","N/A",11.5426114,7.820641
"Rogo General Hospital","hospital","N/A","N/A",11.5526616,7.8308789
"Tsohuwar Rogo Health Post","hospital","N/A","N/A",11.574668,7.799462
"Zoza Health Post","hospital","N/A","N/A",11.6274485,7.8718061
"Ba'Awa Health Post","hospital","N/A","N/A",11.5984067,7.9871577
"Jajaye Primary Health Centre","hospital","N/A","N/A",11.5567689,7.9357513
"Maska Health Post","hospital","N/A","N/A",11.5945109,8.0809388
"Sagondare Health Post","hospital","N/A","N/A",11.4800424,7.9547419
"Yanoko Primary Health Centre","hospital","N/A","N/A",11.4558949,7.9180823
"Dalal Health Post","hospital","N/A","N/A",11.8351422,7.9491289
"Dambazau Health Post","hospital","N/A","N/A",11.8114536,8.0292982
"Daura Health Post","hospital","N/A","N/A",11.7256288,7.9830086
"Dederi Health Post","hospital","N/A","N/A",11.8436645,8.0573574
"Dutsan Amare Health Post","hospital","N/A","N/A",11.8273137,7.9908227
"Kadafa Health Post","hospital","N/A","N/A",11.7988485,7.941187
"Kara Primary Health Centre","hospital","N/A","N/A",11.8432876,7.9591133
"Kurugu Health Post","hospital","N/A","N/A",11.8328346,8.039604
"Sabon Birni Primary Health Centre","hospital","N/A","N/A",11.8562137,8.0313367
"Sabon Fegi Health Post","hospital","N/A","N/A",11.806303,8.0639555
"Sabon Layin Kara Health Post","hospital","N/A","N/A",11.8249152,7.9326276
"Tudun Kaya Health Post","hospital","N/A","N/A",11.7332488,7.930958
"Tumfafi Health Post","hospital","N/A","N/A",11.8377453,8.02226
"Turawa Primary Health Centre","hospital","N/A","N/A",11.6976912,8.0479644
"Unguwar Tofa Health Post","hospital","N/A","N/A",11.785645,7.9596402
"Yola Primary Health Centre","hospital","N/A","N/A",11.7198087,7.9490968
"Zangun Majema Health Post","hospital","N/A","N/A",11.8161764,8.002074
"Dadin Kowa Primary Health Centre","hospital","N/A","N/A",10.7017877,8.6305712
"Dariyar Shere Primary Health Centre","hospital","N/A","N/A",10.6704612,8.7410562
"Dokar Sati Health Post","hospital","N/A","N/A",10.728985,8.619358
"Kwando Primary Health Centre","hospital","N/A","N/A",10.7083293,8.6821695
"Mekwandira Health Post","hospital","N/A","N/A",10.8088385,8.6301797
"Ririwai Primary Health Centre","hospital","N/A","N/A",10.750129,8.7279186
"Achilafiya Health Post","hospital","N/A","N/A",11.7484648,8.1386675
"Alhazawa Health Post","hospital","N/A","N/A",11.7093773,8.167287
"Bargoni Health Post","hospital","N/A","N/A",11.719051,8.1052227
"Baskore Health Post","hospital","N/A","N/A",11.8426972,8.1478795
"Dashi Health Post","hospital","N/A","N/A",11.7173406,8.227324
"Dugabau Primary Health Centre","hospital","N/A","N/A",11.8027135,8.2070991
"Gazan Health Post","hospital","N/A","N/A",11.7108499,8.1974104
"Hawadin Galadima Primary Health Centre","hospital","N/A","N/A",11.8657616,8.2355798
"Husama Health Post","hospital","N/A","N/A",11.788362,8.113176
"Kabo Cottage General Hospital","hospital","N/A","N/A",11.8511893,8.1677976
"Kafin Dabga Health Post","hospital","N/A","N/A",11.8318724,8.1230959
"Kailani Health Post","hospital","N/A","N/A",11.7301784,8.1820486
"Kanwa Health Post","hospital","N/A","N/A",11.8264287,8.1505252
"Kauyen Mahuta Health Post","hospital","N/A","N/A",11.8663042,8.1539167
"Kiru General Hospital","hospital","N/A","N/A",11.70699,8.1347617
"Malan Gajere Health Post","hospital","N/A","N/A",11.8602942,8.1921146
"Masanawa Health Post","hospital","N/A","N/A",11.8468936,8.2425612
"Unguwar Turaki Health Post","hospital","N/A","N/A",11.8202943,8.2309109
"Walawa Health Post","hospital","N/A","N/A",11.786184,8.2231491
"Yammedi Primary Health Centre","hospital","N/A","N/A",11.82384,8.0924596
"Zuwo Health Post","hospital","N/A","N/A",11.7502925,8.2055225
